OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,X,Y,GEOCODESTATUS,SHAPE,PERMITID
54,04092011062,CHAR-GRILL,4617 ATLANTIC AVE,,RALEIGH,NC,27604-8103,(919) 954-9556,1992/03/10 00:00:00+00,1 - Restaurant,-78.60292756,35.84801798,M,,Not Provided
55,04092011070,OUTBACK STEAKHOUSE #3440,7500 CREEDMOOR RD ,,RALEIGH,NC,27613-1641,(919) 846-3848,1992/08/10 00:00:00+00,1 - Restaurant,-78.67923546,35.8882399,M,,Not Provided
56,04092011108,MARGAUXS,8111 CREEDMOOR RD ,,RALEIGH,NC,27613-4389,(919) 846-9846,1993/03/18 00:00:00+00,1 - Restaurant,-78.68248846,35.8985009,M,,Not Provided
57,04092011099,BARRYS CAFE,2851 JONES FRANKLIN RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992/05/18 00:00:00+00,1 - Restaurant,-78.7377362,35.74360868,M,,Not Provided
58,04092011117,ROYAL INDIA RESTAURANT,3901-103 CAPITAL BLVD,,RALEIGH,NC,27604,(919) 981-0849,1992/07/27 00:00:00+00,1 - Restaurant,-78.58517482,35.8349864,M,,Not Provided
59,04092011132,BOJANGLES,1400 N MAIN ST ,,FUQUAY-VARINA,NC,27526-8901,(919) 557-0749,1992/08/10 00:00:00+00,1 - Restaurant,-78.77334769,35.59221963,M,,Not Provided
60,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 00:00:00+00,1 - Restaurant,-78.582482,35.85985466,M,,Not Provided
61,04092011181,NC FARM BUREAU CAFETERIA,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 00:00:00+00,1 - Restaurant,-78.69210811,35.84689265,M,,Not Provided
62,04092011186,KASHIN RESTAURANT,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 00:00:00+00,1 - Restaurant,-78.73871469,35.76064643,M,,Not Provided
63,04092011193,EL RODEO RESTAURANT,2404 WAKE FOREST RD,,RALEIGH,NC,27608-1710,(919) 833-1460,1992/12/10 00:00:00+00,1 - Restaurant,-78.62594081,35.81378275,M,,Not Provided
64,04092011235,OLIVE GARDEN,4805 CAPITAL BLVD,,RALEIGH,NC,27616-4483,(919) 954-8557,1993/03/09 00:00:00+00,1 - Restaurant,-78.58155933,35.85089099,M,,Not Provided
65,04092011278,HARDEES #1638,403 S MAIN ST ,,ROLESVILLE,NC,27571-9664,(919) 554-2720,1993/05/07 00:00:00+00,1 - Restaurant,-78.46490536,35.91816505,M,,Not Provided
66,04092011279,OLE TIME BARBECUE,6309 HILLSBOROUGH ST ,,RALEIGH,NC,27606-1148,(919) 859-2544,1993/05/11 00:00:00+00,1 - Restaurant,-78.73876969,35.78733184,M,,Not Provided
67,04092011314,REVENUE BLDG. CAFETERIA,305 N WILMINGTON ST ,,RALEIGH,NC,27601,,1993/07/15 00:00:00+00,1 - Restaurant,-78.63784764,35.7765961,M,,Not Provided
68,04092011321,BOWLERO CARY,301 NOTTINGHAM DR,,CARY,NC,27511-4947,(919) 467-2411,1993/07/30 00:00:00+00,1 - Restaurant,-78.74288286,35.76719977,M,,Not Provided
69,04092011334,CHICK-FIL-A,6612 GLENWOOD AVE ,,RALEIGH,NC,27612-7128,(919) 571-8480,1993/08/25 00:00:00+00,1 - Restaurant,-78.70866037,35.86104241,M,,Not Provided
70,04092011339,AMF SNACK BAR AND LOUNGE,5501 COMMERCIAL AVE ,,RALEIGH,NC,27612-7002,,1993/09/01 00:00:00+00,1 - Restaurant,-78.7093492,35.85721598,M,,Not Provided
71,04092011376,CONFERENCE DINING SERVICES FACILITY,3000 NEW BERN AVE,,RALEIGH,NC,27610,(919) 350-8190,1993/10/21 00:00:00+00,1 - Restaurant,-78.58795523,35.78389509,M,,Not Provided
72,04092011192,SUBWAY #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 00:00:00+00,1 - Restaurant,-78.60613274,35.68500311,M,,Not Provided
73,04092011394,MCDONALD'S # 13334,6213 FALLS OF NEUSE RD ,,RALEIGH,NC,27609-3505,(919) 878-0085,1993/11/29 00:00:00+00,1 - Restaurant,-78.62123397,35.86745099,M,,Not Provided
74,04092011399,BOJANGLES,1209 LAURA VILLAGE  RD ,,APEX,NC,27523-7140,(919) 362-1416,1993/12/02 00:00:00+00,1 - Restaurant,-78.83682643,35.74886593,M,,Not Provided
75,04092011426,"ATRIUM CAFE, THE","500 SAS CAMPUS DR,  BLDG R ",BUILDING R,CARY,NC,27513,,1994/01/28 00:00:00+00,1 - Restaurant,-78.75797286,35.82399708,M,,Not Provided
76,04092011463,PHILLY STEAK AND SUBS,4701 ATLANTIC AVE,,RALEIGH,NC,27604-8108,(919) 878-5748,1994/03/18 00:00:00+00,1 - Restaurant,-78.60292756,35.84801798,M,,Not Provided
77,04092011465,BURGER KING #223,349 TRYON RD ,,RALEIGH,NC,27603-3529,(919) 772-5255,1994/03/22 00:00:00+00,1 - Restaurant,-78.6504203,35.73082051,M,,Not Provided
78,04092011497,BARNES AND NOBLE CAFE,4325 GLENWOOD AVE,,RALEIGH,NC,27612-4532,(919) 782-0030,1994/06/03 00:00:00+00,1 - Restaurant,-78.68184647,35.84183507,M,,Not Provided
79,04092011619,LEGISLATIVE BLDG CAFETERIA,16 W JONES ST ,,RALEIGH,NC,27601-1030,(919) 733-6032,1995/01/10 00:00:00+00,1 - Restaurant,-78.63894782,35.78320992,M,,Not Provided
80,04092011620,LEGISLATIVE BLDG SNACK BAR,16 W JONES ST ,,RALEIGH,NC,27601-1030,,1995/01/10 00:00:00+00,1 - Restaurant,-78.63894782,35.78320992,M,,Not Provided
81,04092011649,DANNY'S BARBEQUE,311 ASHVILLE AVE ,,CARY,NC,27518,(919) 851-5541,1995/03/01 00:00:00+00,1 - Restaurant,-78.78493552,35.73790444,M,,Not Provided
82,04092011623,JOSE AND SONS MEXICAN KITCHEN   BAR,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 571-1188,1995/01/10 00:00:00+00,1 - Restaurant,-78.70472779,35.86043849,M,,Not Provided
83,04092011678,MCDONALD'S #14961,4413 CAPITAL BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 00:00:00+00,1 - Restaurant,-78.58053199,35.8441304,M,,Not Provided
84,04092011682,SALSA FRESH MEXICAN GRILL,5910 DURALEIGH RD ,,RALEIGH,NC,27612-2580,(919) 571-9111,1995/04/25 00:00:00+00,1 - Restaurant,-78.71199827,35.85872108,M,,Not Provided
85,04092011708,KORNER POCKET,8508 CAPITAL BLVD,,RALEIGH,NC,27616-3150,(919) 876-9879,1995/07/14 00:00:00+00,1 - Restaurant,-78.55805483,35.89527831,M,,Not Provided
86,04092011723,KORNER CAFE FOOD COURT,4420 LAKE BOONE TRL ,,RALEIGH,NC,27607-7505,(919) 784-3401,1995/08/23 00:00:00+00,1 - Restaurant,-78.70241812,35.81817357,M,,Not Provided
87,04092011740,BURGER KING #9246,3500 POOLE RD ,,RALEIGH,NC,27610-2904,(919) 231-3008,1995/10/03 00:00:00+00,1 - Restaurant,-78.57713899,35.76737783,M,,Not Provided
88,04092011773,CUP A JOE,2109 AVENT FERRY RD,SUITE 142,RALEIGH,NC,27606-2137,(919) 828-9886,1995/11/03 00:00:00+00,1 - Restaurant,-78.67605304,35.77835842,M,,Not Provided
89,04092011783,TACO BELL #3421,1120 KILDAIRE FARM RD,,CARY,NC,27511-4523,(919) 481-0850,1995/12/04 00:00:00+00,1 - Restaurant,-78.7822126,35.76974584,M,,Not Provided
90,04092011788,TACO BELL,2748 CAPITAL BLVD ,,RALEIGH,NC,27604-1510,(919) 832-6450,1995/12/14 00:00:00+00,1 - Restaurant,-78.59785732,35.81729325,M,,Not Provided
91,04092011784,TACO BELL,8801 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 870-9107,1995/12/05 00:00:00+00,1 - Restaurant,-78.65212104,35.89979648,M,,Not Provided
92,04092011804,TACO BELL OF KNIGHTDALE,7036 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-8800,(919) 217-9524,1996/01/03 00:00:00+00,1 - Restaurant,-78.49388935,35.79807017,M,,Not Provided
93,04092011828,TACO BELL,1384 N MAIN ST ,,FUQUAY-VARINA,NC,27526-2617,(919) 557-5283,1996/01/02 00:00:00+00,1 - Restaurant,-78.7742087,35.59204904,M,,Not Provided
94,04092011831,TACO BELL #3279,3821 WESTERN BLVD ,,RALEIGH,NC,27606-1934,(919) 851-9034,1995/12/08 00:00:00+00,1 - Restaurant,-78.68953247,35.78425417,M,,Not Provided
95,04092011862,ZEBULON BP GRILL,603 W GANNON AVE,,ZEBULON,NC,27597-2511,(919) 375-5200,1996/04/25 00:00:00+00,1 - Restaurant,-78.32832015,35.81991106,M,,Not Provided
96,04092011879,EL DORADO #8,8111 CREEDMOOR RD ,STE.161,RALEIGH,NC,27613-4389,(919) 848-0788,1996/05/31 00:00:00+00,1 - Restaurant,-78.68248846,35.8985009,M,,Not Provided
97,04092011923,PAULS CASH GROCERY  SERVICES,7301 POOLE RD,,RALEIGH,NC,27610-9366,(919) 266-2624,1996/08/28 00:00:00+00,1 - Restaurant,-78.51574177,35.75588643,M,,Not Provided
98,04092011895,FIESTA MEXICANA,2839 JONES FRANKLIN RD ,,RALEIGH,NC,27606-4346,(919) 859-1303,1996/07/03 00:00:00+00,1 - Restaurant,-78.7377362,35.74360868,M,,Not Provided
99,04092011948,STARBUCKS COFFEE # 8217,6282 GLENWOOD AVE ,#104 STE 104,RALEIGH,NC,27612-2651,(919) 785-0111,1996/10/18 00:00:00+00,1 - Restaurant,-78.70313537,35.85876533,M,,Not Provided
100,04092011949,O'MALLEY'S TAVERN,5228 HOLLYRIDGE DR ,,RALEIGH,NC,27612-3114,(919) 787-1234,1996/10/14 00:00:00+00,1 - Restaurant,-78.70051428,35.85321065,M,,Not Provided
101,04092011955,PAM'S FARMHOUSE RESTAURANT,5111 WESTERN BLVD ,,RALEIGH,NC,27603,(919) 859-9990,1996/11/07 00:00:00+00,1 - Restaurant,-78.7118452,35.78599159,M,,Not Provided
102,04092011976,CHAR-GRILL,9601 STRICKLAND RD,,RALEIGH,NC,27615,(919) 845-8994,1996/12/06 00:00:00+00,1 - Restaurant,-78.6558313,35.90114598,M,,Not Provided
103,04092011977,HONEYBAKED HAM COMPANY,423 CROSSROADS BLVD ,,CARY,NC,27511-6896,(919) 854-1222,1996/11/22 00:00:00+00,1 - Restaurant,-78.73871469,35.76064643,M,,Not Provided
104,04092011980,REMINGTON GRILL,208 CROSSROADS BLVD,,CARY,NC,27511-6892,(919) 233-1494,1996/12/11 00:00:00+00,1 - Restaurant,-78.73871469,35.76064643,M,,Not Provided
105,04092012007,BEE HIVE CAFE,3800 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 829-8328,1997/01/31 00:00:00+00,1 - Restaurant,-78.68916129,35.79996792,M,,Not Provided
106,04092012029,WAKE TECHNICAL COMMUNITY COLLEGE REST.,9101 FAYETTEVILLE RD,,RALEIGH,NC,27603-5655,(919) 866-5990,1997/04/02 00:00:00+00,1 - Restaurant,-78.70372013,35.64986654,M,,Not Provided
107,04092012051,LA RANCHERITA,102 N SALEM ST ,,APEX,NC,27502-1428,(919) 303-2448,1997/05/06 00:00:00+00,1 - Restaurant,-78.85126634,35.73076686,M,,Not Provided
108,04092012037,WOODY'S SPORTS TAVERN   GRILL,8322 CHAPEL HILL RD,,CARY,NC,27513-4051,(919) 380-7737,1997/03/24 00:00:00+00,1 - Restaurant,-78.77617019,35.79224525,M,,Not Provided
109,04092012057,WARAJI JAPANESE RESTAURANT,5910 DURALEIGH RD ,STE 147,RALEIGH,NC,27612-2580,(919) 783-1883,1997/06/09 00:00:00+00,1 - Restaurant,-78.71199827,35.85872108,M,,Not Provided
110,04092012056,TORERO'S MEXICAN RESTAURANT V,1207-C KILDAIRE FARM RD ,,CARY,NC,27511,(919) 468-8711,1997/06/03 00:00:00+00,1 - Restaurant,-78.78219418,35.76380551,M,,Not Provided
111,04092012063,WHOLE FOODS MARKET CAFE,3540 WADE AVE ,,RALEIGH,NC,27607-4048,(919) 828-5805,1997/06/19 00:00:00+00,1 - Restaurant,-78.68557988,35.80211883,M,,Not Provided
112,04092012065,MAYFLOWER SEAFOOD RESTAURANT,3301 CAPITAL BLVD ,,RALEIGH,NC,27604-3339,(919) 875-9007,1997/04/30 00:00:00+00,1 - Restaurant,-78.58813766,35.82461108,M,,Not Provided
113,04092012102,CARRABBA'S ITALIAN GRILL #3420,4821 CAPITAL BLVD ,,RALEIGH,NC,27616-4483,(919) 871-0001,1997/08/18 00:00:00+00,1 - Restaurant,-78.58143557,35.85253808,M,,Not Provided
114,04092012067,KABUKI JAPANESE STEAK HOUSE,220 NOTTINGHAM DR,,CARY,NC,27511,(919) 380-8081,1997/06/26 00:00:00+00,1 - Restaurant,-78.74295028,35.76835892,M,,Not Provided
115,04092012120,SECOND EMPIRE AT DODD-HINSDALE,330 HILLSBOROUGH ST ,,RALEIGH,NC,27603-1726,(919) 829-3663,1997/09/05 00:00:00+00,1 - Restaurant,-78.64468881,35.78102351,M,,Not Provided
116,04092012113,CHINA CHEF,930 US 64 HWY W ,,APEX,NC,27523,(919) 468-8982,1997/08/08 00:00:00+00,1 - Restaurant,-78.820808,35.74557219,M,,Not Provided
117,04092012149,NEW PANDA CHINESE RESTAURANT,2660 TIMBER DR ,,GARNER,NC,27529-2571,(919) 661-8393,1997/10/27 00:00:00+00,1 - Restaurant,-78.63679232,35.71605085,M,,Not Provided
118,04092012179,CHICK-FIL-A #00678,2720 TIMBER DR ,,GARNER,NC,27529-2591,(919) 661-2448,1998/01/07 00:00:00+00,1 - Restaurant,-78.63762924,35.71713143,M,,Not Provided
119,04092012200,N.Y.PIZZA,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 00:00:00+00,1 - Restaurant,-78.76155635,35.7455991,M,,Not Provided
120,04092012198,WINDSOR POINT RESTAURANT,1221 BROAD ST,,FUQUAY-VARINA,NC,27526-3602,(919) 552-4580,1998/02/27 00:00:00+00,1 - Restaurant,-78.8037686,35.60086921,M,,Not Provided
121,04092012212,STARBUCKS #8270,7498 CREEDMOOR RD ,,RALEIGH,NC,27613-1664,(919) 846-0633,1998/03/25 00:00:00+00,1 - Restaurant,-78.67810638,35.88786089,M,,Not Provided
122,04092012219,THAI VILLA RESTAURANT,1319 BUCK JONES RD ,,RALEIGH,NC,27606-3328,(919) 462-9010,1998/04/13 00:00:00+00,1 - Restaurant,-78.74230845,35.76485926,M,,Not Provided
123,04092012252,JACKS SEAFOOD RESTAURANT,1516 NEW BERN AVE ,,RALEIGH,NC,27610-2536,(919) 755-1551,1998/06/02 00:00:00+00,1 - Restaurant,-78.61632082,35.77973525,M,,Not Provided
124,04092012231,KNIGHTS PLAY GOLF CENTER,2512 TEN TEN RD,,APEX,NC,27502,(919) 303-3747,1998/04/27 00:00:00+00,1 - Restaurant,-78.81418601,35.71129002,M,,Not Provided
125,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 GLENWOOD AVE ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 00:00:00+00,1 - Restaurant,-78.68184647,35.84183507,M,,Not Provided
126,04092012262,INTERNATIONAL HOUSE OF PANCAKES,1450 US 70 HWY ,,GARNER,NC,27529,(919) 661-2604,1998/06/22 00:00:00+00,1 - Restaurant,-78.64196989,35.72164018,M,,Not Provided
127,04092012307,STARBUCKS,3101 EDWARDS MILL RD ,,RALEIGH,NC,27612-5303,(919) 789-4922,1998/08/07 00:00:00+00,1 - Restaurant,-78.70695545,35.82544758,M,,Not Provided
128,04092012312,TACO BELL,1205 LAURA VILLAGE RD ,,APEX,NC,27523-7140,(919) 363-6684,1998/10/06 00:00:00+00,1 - Restaurant,-78.83614033,35.74864094,M,,Not Provided
